Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return,RV,imp_vol,r,VRP,VRP_std,VRP_mean
2024-07-02,214.4911227279333,218.6886699462021,213.44919320249292,218.5795135498047,58046200,0.0,0.0,0.0162398868721573,0.3428058535683121,0.2477695505528254,0.0548,-0.09503630301548671,0.04953842366972718,0.015582790425481247
2024-07-03,218.3115631866412,219.84967041015625,217.34900644671097,219.84967041015625,37369800,0.0,0.0,0.0058109602300955,0.3423301177345196,0.24862603884175855,0.054900000000000004,-0.09370407889276106,0.053889091082699764,0.0077850350826563245
2024-07-05,219.948912125906,224.71207692855523,219.948912125906,224.60292053222656,60412400,0.0,0.0,0.0216204559834114,0.3463638857167407,0.26421659706390427,0.0548,-0.08214728865283644,0.05538057574027599,0.00019088232260602717
2024-07-08,225.3471553285217,226.1013322692385,221.53662969916704,226.07156372070312,59085900,0.0,0.0,0.0065388427941917,0.3421105507313637,0.27193173589769826,0.0548,-0.07017881483366545,0.05587575048400965,-0.006115822661483553
2024-07-09,226.1807284601389,227.6394480565936,224.6327032088037,226.9249725341797,48076100,0.0,0.0,0.0037749498407986,0.3420635623669,0.27416587881975313,0.0545,-0.06789768354714687,0.05520461188544579,-0.012525933601349043
2024-07-10,227.5402055501565,231.29119415797783,227.49058625437067,231.19195556640625,62627700,0.0,0.0,0.0188034969645478,0.3287854517009145,0.2928796702914135,0.0546,-0.035905781409501014,0.05452086941901012,-0.015791801563721057
2024-07-11,229.61416127735984,230.60648662367137,224.0372976764276,225.823486328125,64710600,0.0,0.0,-0.0232208306086119,0.2522535125142821,0.2890219387637035,0.0548,0.03676842624942145,0.05519952830250062,-0.011587229590255625
2024-07-12,227.1631286162611,230.8545803134063,226.9249650693961,228.77069091796875,53046500,0.0,0.0,0.013050921486357,0.2385136259358487,0.28985411053536025,0.0547,0.05134048459951154,0.05592763385177849,-0.010896976233604262
2024-07-15,234.6650975313768,235.409341553401,231.30111515749465,232.6010589599609,62631300,0.0,0.0,0.0167432638622648,0.2427193230394904,0.32819208003809364,0.0548,0.08547275699860324,0.05990334667041298,-0.005831901489690315
2024-07-16,233.196448812944,234.4567062015191,230.5469420413052,233.0178375244141,43234300,0.0,0.0,0.0017918171409738,0.2382949742710055,0.3178710773907871,0.0548,0.07957610311978164,0.061830429251828085,0.0006699823494869764
