Date,Transaction,Earned
2025-06-16,rehedge,0.0
2025-06-17,rehedge,31.630076365428295
2025-06-18,rehedge,0.0
2025-06-20,close call (stop_loss),-243.60174560546875
2025-06-20,long straddle,-243.60174560546875
2025-06-20,rehedge,0.0
2025-06-23,close put (stop_loss),-399.508205078125
2025-06-24,close call (breakeven),190.85961914062477
2025-06-24,long straddle,190.85961914062477
2025-06-24,rehedge,0.0
2025-06-25,rehedge,0.0
2025-06-26,close put (stop_loss),-445.37982177734375
2025-06-26,rehedge,0.0
2025-06-27,close call (breakeven),196.08477783203125
2025-06-27,long straddle,196.08477783203125
2025-06-27,rehedge,0.0
2025-06-30,force_close,-198.79931640625
2025-07-01,long straddle,0.0
2025-07-02,rehedge,0.0
2025-07-03,close put (stop_loss),31.4403076171875
2025-07-03,rehedge,0.0
2025-07-07,close call (breakeven),-12.463867187500227
2025-07-09,long straddle,0.0
2025-07-09,rehedge,0.0
2025-07-10,rehedge,1.5999755859375
2025-07-11,rehedge,8.199951171875
2025-07-14,rehedge,0.0
2025-07-15,rehedge,-0.9550682274070823
2025-07-16,close put (stop_loss),-371.95025634765625
2025-07-16,rehedge,0.0
2025-07-17,close call (breakeven),41.279296875
2025-07-30,long straddle,0.0
2025-07-30,rehedge,0.0
2025-07-31,force_close,201.670654296875
2025-08-04,long straddle,0.0
2025-08-04,rehedge,0.0
2025-08-05,rehedge,38.299560546875
2025-08-06,rehedge,0.0
2025-08-07,rehedge,-3.565776909722217
2025-08-08,close put (stop_loss),-70.639892578125
2025-08-08,rehedge,0.0
2025-08-11,close call (breakeven),4.6009521484375
2025-08-12,long straddle,0.0
2025-08-12,rehedge,0.0
2025-08-13,rehedge,0.0
2025-08-14,rehedge,0.16838007387912057
2025-08-15,rehedge,2.7183678668478706
2025-08-18,rehedge,0.0
2025-08-19,close call (stop_loss),-92.56298828125
2025-08-19,close put (breakeven),-92.56298828125
2025-08-22,long straddle,0.0
2025-08-22,rehedge,0.0
2025-08-25,rehedge,8.24981689453125
2025-08-26,rehedge,0.0
2025-08-27,rehedge,0.0
2025-08-28,close put (stop_loss),-234.842041015625
2025-08-28,rehedge,0.0
2025-08-29,force_close,111.32308799341263
2025-09-30,force_close,0.0
2025-10-01,long straddle,0.0
2025-10-01,rehedge,0.0
2025-10-02,rehedge,0.0
2025-10-03,rehedge,4.778573172433198
2025-10-06,rehedge,0.0
2025-10-07,rehedge,12.055326304041955
2025-10-08,close put (stop_loss),-110.22991943359375
2025-10-08,rehedge,0.0
2025-10-09,close call (breakeven),26.099365234375
2025-10-09,long straddle,26.099365234375
2025-10-09,rehedge,0.0
2025-10-10,close call (stop_loss),1087.4003295898438
2025-10-10,close put (breakeven),1087.4003295898438
2025-10-21,long straddle,0.0
2025-10-21,rehedge,0.0
2025-10-22,close call (stop_loss),38.8104248046875
