Date,PortfolioMTM,NAV,DailyReturn,Equity,HedgeShares,CallNum,NetDelta,Gamma,Vega,Theta,Vanna,Volga,TradeEvent,CallSymbol,ExitCallSymbol,Rolled,RehedgeDay
2024-06-10,99003.08779235843,99003.08779235843,0.0,0.9900308779235845,0.0,0.0,,,,,,,,,,False,False
2024-06-11,99003.08779235836,99003.08779235836,-7.349222914585723e-16,0.9900308779235837,-3835.0,4304.0,0.3812536811519749,0.018442917926053404,11.658901799426634,-29.04813119958218,-1.512146738668763,129.15005902690666,enter_long,O:AAPL240705C00190000,,False,False
2024-06-12,103716.31629699713,103716.31629699713,0.04760688388350009,1.0371631629699714,-3736.0,4304.0,0.41946690336635584,0.01477559805273164,13.632958013148981,-43.88985039408216,-1.1258133920579279,91.16105084906403,,O:AAPL240705C00190000,,False,True
2024-06-13,100894.64313781739,100894.64313781739,-0.02720568238366405,1.008946431378174,-4101.0,4304.0,0.41273096293298295,0.0077674863625772795,5.688399562274319,-22.453628841921258,-0.7721956796975051,80.56270901264415,,O:AAPL240705C00190000,,False,True
2024-06-14,100281.1531378174,100281.1531378174,-0.006080501213151544,1.002811531378174,-4115.0,4304.0,-0.10765074925893714,0.0077410152534935234,5.108336137680266,-21.320126889252883,-0.7472866713460729,76.19599287701374,,O:AAPL240705C00190000,,False,True
2024-06-17,108388.00327697769,108388.00327697769,0.08084121378240401,1.0838800327697768,0.0,0.0,,,,,,,exit:vrp,,O:AAPL240705C00190000,False,False
2024-06-18,108388.00327697769,108388.00327697769,0.0,1.0838800327697768,0.0,0.0,,,,,,,,,,False,False
2024-06-20,108388.00327697769,108388.00327697769,0.0,1.0838800327697768,227.0,-330.0,0.27531150325020803,0.014699953256876017,17.701835964773124,-191.07461814419884,-0.6309222245994721,40.907070497922334,enter_short,O:AAPL240705C00190000,,False,False
2024-06-21,108346.2761865236,108346.2761865236,-0.00038497886475002475,1.083462761865236,0.0,0.0,,,,,,,exit:vrp,,O:AAPL240705C00190000,False,False
2024-06-24,108346.2761865236,108346.2761865236,0.0,1.083462761865236,0.0,0.0,,,,,,,,,,False,False
2024-06-25,108346.2761865236,108346.2761865236,0.0,1.083462761865236,0.0,0.0,,,,,,,,,,False,False
2024-06-26,108346.2761865236,108346.2761865236,0.0,1.083462761865236,0.0,0.0,,,,,,,,,,False,False
2024-06-27,108346.2761865236,108346.2761865236,0.0,1.083462761865236,0.0,0.0,,,,,,,,,,False,False
2024-06-28,108346.2761865236,108346.2761865236,0.0,1.083462761865236,0.0,0.0,,,,,,,,,,False,False
2024-07-01,108346.27618652361,108346.27618652361,1.3430932506914214e-16,1.0834627618652362,-1096.0,6611.0,0.17127012298328737,0.04791253901298647,50.07966778254715,-73.87237942810268,-0.41265403603062345,5.547271662036197,enter_long,O:AAPL240802C00215000,,False,False
2024-07-02,107992.18150390644,107992.18150390644,-0.0032681758439725168,1.0799218150390644,-2207.0,6611.0,-0.0644126267034153,0.04514193194805867,46.65104149629553,-72.26682557249961,-1.0381258611696216,28.75045665064257,,O:AAPL240802C00215000,,False,True
2024-07-03,107943.84419799817,107943.84419799817,-0.00044760005062512295,1.0794384419799816,-2578.0,6611.0,-0.47925601309043486,0.04337302327534004,44.485419267446844,-72.86436915386815,-1.2034748893986946,38.96446087172713,,O:AAPL240802C00215000,,False,True
2024-07-05,111263.31150634761,111263.31150634761,0.030751798150347898,1.112633115063476,-3786.0,6611.0,0.05755649277716657,0.03502568825647105,36.48764749190253,-69.33550952856515,-1.5812772921253488,78.6731878874947,,O:AAPL240802C00215000,,False,True
2024-07-08,109891.02991210949,109891.02991210949,-0.012333639684630799,1.0989102991210948,-4155.0,6611.0,0.4002270446217153,0.03266866790127415,31.893452212583025,-70.95565154704298,-1.6005951289684381,85.3031832200156,,O:AAPL240802C00215000,,False,True
2024-07-09,109491.07077636733,109491.07077636733,-0.0036395976638133763,1.0949107077636733,-4346.0,6611.0,-0.3031453088415219,0.031116799774194924,29.813985109772617,-70.50364321764167,-1.6006465174309308,89.05687236317675,,O:AAPL240802C00215000,,False,True
2024-07-10,113941.7575134281,113941.7575134281,0.04064885570578803,1.139417575134281,-4926.0,6611.0,0.13067828023304173,0.023526152425919968,24.390676737163467,-67.09086196632094,-1.4615960327901543,97.33877181778192,,O:AAPL240802C00215000,,False,True
2024-07-11,117981.74038818362,117981.74038818362,0.035456560991517096,1.1798174038818363,0.0,0.0,,,,,,,exit:vrp,,O:AAPL240802C00215000,False,False
2024-07-12,117981.74038818362,117981.74038818362,0.0,1.1798174038818363,0.0,0.0,,,,,,,,,,False,False
2024-07-15,117981.74038818362,117981.74038818362,0.0,1.1798174038818363,0.0,0.0,,,,,,,,,,False,False
2024-07-16,117981.74038818362,117981.74038818362,0.0,1.1798174038818363,0.0,0.0,,,,,,,,,,False,False
2024-07-17,117981.74038818362,117981.74038818362,0.0,1.1798174038818363,0.0,0.0,,,,,,,,,,False,False
2024-07-18,117981.74038818362,117981.74038818362,0.0,1.1798174038818363,0.0,0.0,,,,,,,,,,False,False
2024-07-19,117981.74038818362,117981.74038818362,0.0,1.1798174038818363,235.0,-448.0,0.40074235047714524,0.042152375861148214,27.189968371448508,-124.30586022943834,-1.1972232164762093,37.44895952320003,enter_short,O:AAPL240802C00215000,,False,False
2024-07-22,118244.45253967289,118244.45253967289,0.0022267187331267402,1.1824445253967288,237.0,-448.0,0.07660303478684227,0.044619205698059244,23.919441241074175,-146.7097333116642,-1.142877377606958,32.01021601327892,,O:AAPL240802C00215000,,False,True
2024-07-23,118421.6196466065,118421.6196466065,0.0014983122093966557,1.184216196466065,267.0,-448.0,0.03785775444708861,0.042841818225180475,20.966042163178365,-141.98878794934853,-1.2387357602815183,38.56336441258474,,O:AAPL240802C00215000,,False,True
2024-07-24,117854.44932067874,117854.44932067874,-0.004789415375505797,1.1785444932067872,114.0,-448.0,-0.142274720975621,0.057758875759215456,25.963715549560924,-203.72329121820638,-0.5250916884698025,5.854123880672773,,O:AAPL240802C00215000,,False,True
2024-07-25,117694.43071228031,117694.43071228031,-0.001357764677708719,1.176944307122803,84.0,-448.0,0.2846611940428545,0.05762565621852167,24.97435753980343,-240.16997290058833,-0.3236882615441409,2.46371252673871,,O:AAPL240802C00215000,,False,True
2024-07-26,118137.11081481937,118137.11081481937,0.003761266356105243,1.1813711081481937,103.0,-448.0,0.4553432646145268,0.06265243781033915,23.07763101308916,-245.77790744038316,-0.444121362441121,3.8988644312066034,,O:AAPL240802C00215000,,False,True
2024-07-29,118277.95068908695,118277.95068908695,0.0011921730038611277,1.1827795068908695,110.0,-448.0,-0.45439957637339035,0.06418597069948169,17.345492427247848,-412.71881007203893,-0.3809577655754951,2.7328055319646465,,O:AAPL240802C00215000,,False,True
2024-07-30,118205.15042053227,118205.15042053227,-0.0006155016055870731,1.1820515042053226,124.0,-448.0,0.2881528026038751,0.06208929080753696,14.864203493280208,-553.8365673926752,-0.36715792749913195,2.5736064062584028,,O:AAPL240802C00215000,,False,True
